"filename", "language", "TypeScript", "CSS", "JSON", "JSON with Comments", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\rober\Desktop\otc-app\src\modules\alarm-config\web\hooks\use-get-alarms.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 2, 16
"c:\Users\rober\Desktop\otc-app\src\modules\alarm-config\web\hooks\use-update-alarm.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 2, 15
"c:\Users\rober\Desktop\otc-app\src\modules\broadcast-messages\domain\entities\broadcast-message.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\rober\Desktop\otc-app\src\modules\broadcast-messages\web\components\app-broadcast-messages-header.tsx", "TypeScript JSX", 0, 0, 0, 0, 36, 4, 1, 41
"c:\Users\rober\Desktop\otc-app\src\modules\broadcast-messages\web\components\app-broadcast-messages-manager-page.tsx", "TypeScript JSX", 0, 0, 0, 0, 49, 0, 1, 50
"c:\Users\rober\Desktop\otc-app\src\modules\broadcast-messages\web\components\modals\app-broadcast-messages-modal.tsx", "TypeScript JSX", 0, 0, 0, 0, 46, 0, 2, 48
"c:\Users\rober\Desktop\otc-app\src\modules\broadcast-messages\web\components\tables\app-broadcast-message-table.tsx", "TypeScript JSX", 0, 0, 0, 0, 96, 54, 6, 156
"c:\Users\rober\Desktop\otc-app\src\modules\catalog\domain\entities\city.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\rober\Desktop\otc-app\src\modules\catalog\domain\entities\device-type.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\rober\Desktop\otc-app\src\modules\catalog\domain\entities\response-device.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\rober\Desktop\otc-app\src\modules\catalog\domain\entities\specific-alarm.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\rober\Desktop\otc-app\src\modules\catalog\domain\repositories\catalog-repository.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 2, 12
